Species,Stock,nmfs_center,N_hat,CV_N,N_min,yrs_since_last_survey,recent_abundance_surv1,R_max,F_r,PBR,bycatch_MSI,Subsist_mort,tot_MSI,Status,Notes,,,,,,,
Steller sea lion,W. U.S.,AKC,"55,422",,"48,676",1,2013,0.12,0.10,292,31.5,199,238,S,,,,,,,,
Steller sea lion,E. U.S.,AKC,"60,131-74448",,"36,551",1,2013,0.12,0.75,"1,645",51.6,11.3,92.3,S,Fishery mortality Includes entanglements from recreational or subsistence fisheries.,,,,,,,
Northern fur seal,E. North Pacific,AKC,"648,534",N/A,"548,919",2,2012,0.086,0.50,"11,802",1.7,461,468,S,,,,,,,,
Harbor seal,Aleutian Islands,AKC,"3,579",,"3,313",7,2004,0.12,0.50,99,1.0,90,93.1,NS,,,,,,,,
Harbor seal,Pribilof Islands,AKC,232,,232,1,2010,0.12,0.50,7,1.0,0,3.1,NS,,,,,,,,
Harbor seal,Bristol Bay,AKC,"18,577",,"17,690",6,2005,0.12,1.0,"1,061",1.0,141,144.1,NS,,,,,,,,
Harbor seal,North Kodiak,AKC,"4,509",,"4,272",5,2006,0.12,1.0,256,1.0,131,134.1,NS,,,,,,,,
Harbor seal,South Kodiak,AKC,"11,117",,"10,645",5,2006,0.12,1.0,639,1.0,78,81.1,NS,,,,,,,,
Harbor seal,Prince William Sound,AKC,"31,503",,"27,157",5,2006,0.12,0.5,815,25.0,439,466.1,NS,,,,,,,,
Harbor seal,Cook Inlet/Shelikof,AKC,"22,900",,"21,896",5,2006,0.12,1.0,"1,314",1.0,233,236.1,NS,,,,,,,,
Harbor seal,Glacier Bay/Icy Strait,AKC,"5,042",,"4,735",4,2007,0.12,0.5,142,1.0,52,55.1,NS,,,,,,,,
Harbor seal,Lynn Canal/Stephens,AKC,"8,870",,"8,481",4,2007,0.12,0.5,254,1.0,30,33.1,NS,,,,,,,,
Harbor seal,Sitka/Chatham,AKC,"8,586",,"8,222",4,2007,0.12,0.5,247,1.0,222,225.1,NS,,,,,,,,
Harbor seal,Dixon/Cape Decision,AKC,"14,388",,"13,682",5,2003,0.12,1.0,821,1.0,157,160.1,NS,,,,,,,,
Harbor seal,Clarence Strait,AKC,"23,289",,"22,471",5,2003,0.12,1.0,"1,348",1.0,164,167.1,NS,,,,,,,,
Spotted seal,Alaska,AKC,"460,268",,"391,000",2,2012,0.12,0.50,"11,730",1.5,"5,265","5,267",NS,,,,,,,,
Bearded seal,Alaska,AKC,N/A,,N/A,,,0.12,0.50,N/A,1.8,"6,788","6,790",S,,,,,,,,
Ringed seal,Alaska,AKC,N/A,,N/A,,,0.12,0.50,N/A,4.1,"9,567","9,571",S,,,,,,,,
Ribbon seal,Alaska,AKC,"61,100",,N/A,2,2012,0.12,0.50,N/A,1.02,193,194,NS,Provisional abundance estimate.,,,,,,,
Beluga whale,Beaufort Sea,AKC,"39,258",0.23,"32,453",22,1992,0.04,1.00,649,0,166,166,NS,,,,,,,,
Beluga whale,E. Chukchi Sea,AKC,"3,710",N/A,UNK,23,1991,0.04,1.00,UNDET,0,57.4,57.4,NS,,,,,,,,
Beluga whale,E. Bering Sea,AKC,"19,186",0.32,UNK,14,2000,0.04,1.00,UNDET,0,181,181,NS,,,,,,,,
Beluga whale,Bristol Bay,AKC,"2,877",0.2,"2,467",9,2005,0.048,1.00,59,0.2,24,24.2,NS,,,,,,,,
Beluga whale,Cook Inlet,AKC,312,0.13,280,2,2012,0.04,0.1,UNDET,0,0,0,S,,,,,,,,
Narwhal,Unidentified stock,AKC,N/A,,N/A,,,0.04,0.50,N/A,0,0,0,NS,,,,,,,,
Killer whale,Alaska Resident,AKC,"2,347",N/A,"2,347",1,2012,0.04,0.50,23.4,0.9,0,0.9,NS,N_hat based on counts of individual animals identified from photo-identification catalogs. Surveys for abundance estimates of these stocks are conducted infrequently.,,,,,,,
Killer whale,Northern Resident (British Columbia),AKC,261,N/A,261,2,2011,0.03,0.5,1.96,0,0,0,NS,N_hat based on counts of individual animals identified from photo-identification catalogs. Surveys for abundance estimates of these stocks are conducted infrequently.,,,,,,,
Killer whale,"GOA, AI, BS Transient",AKC,587,N/A,587,1,2012,0.04,0.5,5.9,0.6,0,0.6,NS,N_hat based on counts of individual animals identified from photo-identification catalogs. Surveys for abundance estimates of these stocks are conducted infrequently.,,,,,,,
Killer whale,AT1 transient,AKC,7,N/A,7,1,2013,0.04,0.10,0,0,0,0,S,N_hat based on counts of individual animals identified from photo-identification catalogs. Surveys for abundance estimates of these stocks are conducted infrequently.,,,,,,,
Killer whale,West Coast Transient,AKC,243,N/A,243,3,2009,0.04,0.5,2.4,0,0,0,NS,N_hat based on counts of individual animals identified from photo-identification catalogs. Surveys for abundance estimates of these stocks are conducted infrequently.,,,,,,,
Pacific white-sided dolphin,Cent. N. Pacific,AKC,"26,880",N/A,N/A,25,1990,0.04,0.50,UNDET,0,0,0,NS,,,,,,,,
Harbor porpoise,SE Alaska,AKC,"11,146",0.242,"9,116",17,1997,0.04,0.50,UNDET,22.6,0,22.6,S,"No or minimal reported take by fishery observers; however, observer coverage was minimal or nonexistent.",,,,,,,
Harbor porpoise,Gulf of Alaska,AKC,"31,046",0.214,"25,987",16,1998,0.04,0.50,UNDET,71.4,0,71.4,S,,,,,,,,
Harbor porpoise,Bering Sea,AKC,"48,215",0.223,"40,039",15,1999,0.04,0.50,UNDET,0.2,0,0.2,S,,,,,,,,
Dall’s porpoise,Alaska,AKC,"83,400",0.097,N/A,18,1993,0.04,1.00,UNDET,28.9,0,28.9,NS,,,,,,,,
Sperm whale,N. Pacific,AKC,N/A,,N/A,,,0.04,0.10,N/A,0,0,0,S,,,,,,,,
Baird’s beaked whale,Alaska,AKC,N/A,,N/A,,,0.04,0.50,N/A,0,0,0,NS,,,,,,,,
Cuvier’s beaked whale,Alaska,AKC,N/A,,N/A,,,0.04,0.50,N/A,0,0,0,NS,,,,,,,,
Stejneger’s beaked whale,Alaska,AKC,N/A,,N/A,,,0.04,0.50,N/A,0,0,0,NS,,,,,,,,
Humpback whale,W. N. Pacific,AKC,"1,107",0.30,865,8,2006,0.07,0.10,3.0,0.9,0,2.15,S,Fishery mortality Includes entanglements from recreational or subsistence fisheries.,,,,,,,
Humpback whale,CNP - entire stock,AKC,"10,103",0.30,"7,890",8,2006,0.07,0.3,82.8,8.4,0,15.89,S,Fishery mortality Includes entanglements from recreational or subsistence fisheries.,,,,,,,
Fin whale,NE Pacific,AKC,N/A,N/A,N/A,4,2010,0.04,0.10,UNDET,0.2,0,0.6,S,,,,,,,,
Minke whale,Alaska,AKC,N/A,,N/A,,,0.04,0.50,N/A,0,0,0.2,NS,,,,,,,,
Right whale,E. N. Pacific,AKC,31,0.23,25.7,4,2010,0.04,0.10,0,0,0,0,S,,,,,,,,
Bowhead whale,W. Arctic,AKC,"16,892",0.24,"13,796",3,2011,0.04,0.50,138,0.4,42,42.4,S,,,,,,,,
